show_id,genre,title,director,casts,country,date_added,release_year,rating,duration,listed_in
s138,Movie,Crocodile Dundee in Los Angeles,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson","Australia, United States",09-01-2021,2001,PG,95 min,"Action & Adventure, Comedies"
s139,Movie,Dear John,Lasse Hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",United States,09-01-2021,2010,PG-13,108 min,"Dramas, Romantic Movies"
s140,Movie,Do the Right Thing,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",United States,09-01-2021,1989,R,120 min,"Classic Movies, Comedies, Dramas"
s141,Movie,"El patrón, radiografía de un crimen",Sebastián Schindel,"Joaquín Furriel, Luis Ziembrowski, Guillermo Pfening, Mónica Lairana, Germán de Silva, Victoria Raposo, Andrea Garrote","Argentina, Venezuela",09-01-2021,2014,TV-MA,100 min,"Dramas, International Movies, Thrillers"
s142,Movie,Extraction,Steven C. Miller,"Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney, Joshua Mikel, Steve Coulter, Dan Bilzerian, Heather Johansen","United States, United Kingdom, Canada",09-01-2021,2015,R,82 min,Action & Adventure
s143,Movie,Freedom Writers,Richard LaGravenese,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith","Germany, United States",09-01-2021,2007,PG-13,124 min,Dramas
s144,Movie,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",United States,09-01-2021,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy"
s145,Movie,House Party,Reginald Hudlin,"Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges",United States,09-01-2021,1990,R,104 min,"Comedies, Cult Movies"
s146,Movie,House Party 2,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah",United States,09-01-2021,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals"
s147,Movie,House Party 3,Eric Meza,"Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander",United States,09-01-2021,1994,R,94 min,"Comedies, Music & Musicals"
s148,TV Show,How to Be a Cowboy,,,,09-01-2021,2021,TV-PG,1 Season,Reality TV
s149,TV Show,HQ Barbers,Gerhard Mostert,"Hakeem Kae-Kazim, Chioma Omeruah, Orukotan Adejola, Flora Chiedo, Emeka Nwagbaraocha, Anthony Oseyemi, Oluwabukola Thomas, Soibifaa Dokubo",,09-01-2021,2020,TV-14,1 Season,TV Shows
s150,Movie,I Got the Hook Up,Michael Martin,"Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X",United States,09-01-2021,1998,R,93 min,"Action & Adventure, Comedies"
s151,Movie,In Too Deep,Michael Rymer,"Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri",United States,09-01-2021,1999,R,97 min,Thrillers
s152,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak","Jay Chou, Anne Suzuki, Edison Chen, Anthony Wong Chau-sang, Shawn Yue, Chapman To, Jordan Chan, Kenny Bee","China, Hong Kong",09-01-2021,2005,TV-14,109 min,"Action & Adventure, International Movies"
s153,Movie,Janoskians: Untold and Untrue,Brett Weiner,"Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks",United States,09-01-2021,2016,TV-MA,88 min,Comedies
s154,TV Show,Kid-E-Cats,,"Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder",Russia,09-01-2021,2016,TV-Y,2 Seasons,Kids' TV
s155,TV Show,Kuroko's Basketball,,"Kensho Ono, Yuki Ono, Chiwa Saito, Yoshimasa Hosoya, Hirofumi Nojima, Kenji Hamada, Takuya Eguchi, Soichiro Hoshi, Tatsuhisa Suzuki, Go Inoue, Daisuke Ono, Ryohei Kimura, Junichi Suwabe, Kazuya Nakai, Fumiko Orikasa, Kenichi Suzumura, Kisho Taniyama, Hiroshi Kamiya",Japan,09-01-2021,2015,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows"
s156,Movie,Labyrinth,Jim Henson,"David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser","United Kingdom, United States",09-01-2021,1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies"
s157,Movie,Letters to Juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",United States,09-01-2021,2010,PG,105 min,"Comedies, Dramas, Romantic Movies"
s158,Movie,Level 16,Danishka Esterhazy,"Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira",Canada,09-01-2021,2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers"
s159,Movie,Love Don't Cost a Thing,Troy Byer,"Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman",United States,09-01-2021,2003,PG-13,101 min,"Comedies, Romantic Movies"
s160,Movie,Love in a Puff,Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto, Isabel Chan, Cheung Tat-ming, Matt Chow, Chui Tien-you, Queenie Chu, Charmaine Fong, Vincent Kok",Hong Kong,09-01-2021,2010,TV-MA,103 min,"Comedies, Dramas, International Movies"
s161,TV Show,Major Dad,,"Gerald McRaney, Shanna Reed, Nicole Dubuc, Chelsea Hertford, Marisa Ryan, Matt Mulhern, Beverly Archer, Jon Cypher",United States,09-01-2021,1992,TV-PG,4 Seasons,TV Comedies
s162,Movie,Mars Attacks!,Tim Burton,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman",United States,09-01-2021,1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy"
s163,Movie,Marshall,Reginald Hudlin,"Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown, Dan Stevens, James Cromwell, Keesha Sharp, Roger Guenveur Smith, Derrick Baskin, Barrett Doss","United States, China, Hong Kong",09-01-2021,2017,PG-13,118 min,Dramas
s164,Movie,My Boss's Daughter,David Zucker,"Ashton Kutcher, Tara Reid, Jeffrey Tambor, Andy Richter, Michael Madsen, Jon Abrahams, David Koechner, Carmen Electra, Kenan Thompson, Terence Stamp, Molly Shannon",United States,09-01-2021,2003,R,86 min,"Comedies, Romantic Movies"
s165,Movie,Mystery Men,Kinka Usher,"Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits",United States,09-01-2021,1999,PG-13,121 min,"Action & Adventure, Comedies"
s166,TV Show,Oldsters,,"Patricio Contreras, Alejandro Goic, Sergio Hernández, Mariana Loyola Ruz, Alejandro Trejo, Daniel Alcaíno Cuevas, Nicolás Poblete, Susana Hidalgo, Gloria Münchmeyer",,09-01-2021,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s167,Movie,Once Upon a Time in America,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden","Italy, United States",09-01-2021,1984,R,229 min,"Classic Movies, Dramas"
s168,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman","Joel McHale, Mike Epps, Jane Krakowski, Billy Connolly, Crispin Glover, Steve Schirripa, Georgia Engel, Diedrich Bader, Cody Cameron, Fred Stoller, Olivia Hack","United States, Canada",09-01-2021,2008,PG,76 min,"Children & Family Movies, Comedies"
s169,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly","Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein",United States,09-01-2021,2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies"
s170,Movie,Poseidon,Wolfgang Petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",United States,09-01-2021,2006,PG-13,98 min,"Action & Adventure, Dramas"
s171,Movie,Rhyme & Reason,Peter Spirer,"Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean ""P. Diddy"" Combs, Chuck D., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Method Man, Keith Murray, Nasir 'Nas' Jones, The Notorious B.I.G., Master P, Q-Tip, Raekwon, Redman, Senen Reyes, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave",United States,09-01-2021,1997,R,89 min,"Documentaries, Music & Musicals"
s172,Movie,Same Kind of Different as Me,Michael Carney,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt",United States,09-01-2021,2017,PG-13,120 min,"Dramas, Faith & Spirituality"
s173,Movie,School of Rock,Richard Linklater,"Jack Black, Joan Cusack, Mike White, Sarah Silverman, Lee Wilkof, Kate McGregor-Stewart, Adam Pascal, Suzzanne Douglas, Miranda Cosgrove, Kevin Alexander Clark, Joey Gaydos Jr., Robert Tsai, Veronica Afflerbach, Jordan-Claire Green","United States, Germany",09-01-2021,2003,PG-13,110 min,"Comedies, Music & Musicals"
s174,Movie,Snervous Tyler Oakley,Amy Rice,Tyler Oakley,United States,09-01-2021,2015,PG-13,83 min,"Documentaries, LGBTQ Movies"
s175,Movie,Tears of the Sun,Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie",United States,09-01-2021,2003,R,121 min,"Action & Adventure, Dramas"
s176,Movie,The Blue Lagoon,Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio",United States,09-01-2021,1980,R,105 min,"Dramas, Romantic Movies"
s177,Movie,The Golden Child,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",United States,09-01-2021,1986,PG-13,94 min,"Action & Adventure, Comedies"
s178,Movie,The Guns of Navarone,J. Lee Thompson,"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, James Darren, Irene Papas, Gia Scala, James Robertson Justice, Richard Harris","United Kingdom, United States",09-01-2021,1961,TV-14,156 min,"Action & Adventure, Classic Movies"
s179,Movie,The Interview,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi",United States,09-01-2021,2014,R,112 min,"Action & Adventure, Comedies"
s180,Movie,The Nutty Professor,Tom Shadyac,"Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller, Dave Chappelle, John Ales, Patricia Wilson, Jamal Mixon",United States,09-01-2021,1996,PG-13,95 min,"Comedies, Romantic Movies"
s181,Movie,The Nutty Professor II: The Klumps,Peter Segal,"Eddie Murphy, Janet Jackson, Larry Miller, John Ales, Richard Gant, Anna Maria Horsford, Melinda McGraw, Jamal Mixon, Gabriel Williams, Chris Elliott",,09-01-2021,2000,PG-13,107 min,"Comedies, Romantic Movies"
s182,TV Show,Turning Point: 9/11 and the War on Terror,,,,09-01-2021,2021,TV-14,1 Season,Docuseries
s183,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,"Martin Lawrence, James Earl Jones, Joy Bryant, Margaret Avery, Mike Epps, Mo'Nique, Cedric the Entertainer, Nicole Ari Parker, Michael Clarke Duncan, Louis C.K.",United States,09-01-2021,2008,PG-13,114 min,Comedies
s184,Movie,In the Line of Fire,Wolfgang Petersen,"Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole, Fred Thompson, John Mahoney, Gregory Alan Williams, Jim Curley, Sally Hughes",United States,8-31-2021,1993,R,129 min,"Action & Adventure, Classic Movies"
s185,TV Show,Sparking Joy,,Marie Kondo,United States,8-31-2021,2021,TV-PG,1 Season,Reality TV
s186,Movie,Untold: Crime & Penalties,"Chapman Way, Maclain Way",,,8-31-2021,2021,TV-MA,86 min,"Documentaries, Sports Movies"
s187,TV Show,Hometown Cha-Cha-Cha,,"Shin Min-a, Kim Seon-ho, Lee Sang-yi, Gong Min-jeung, Kim Young-ok, Cho Han-cheul, In Gyo-jin, Lee Bong-ryeon, Cha Cheong-hwa, Kang Hyung-suk",,8-29-2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s188,TV Show,The Ingenuity of the Househusband,,Kenjiro Tsuda,,8-29-2021,2021,TV-G,1 Season,"International TV Shows, TV Comedies"
s189,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor","Ramzy Bedia, Éric Judor, Benoît Magimel, Kristin Scott Thomas, Élodie Bouchez, Édouard Baer, Fred Testot, Omar Sy",France,8-28-2021,2008,TV-MA,97 min,"Comedies, International Movies"
s190,TV Show,Bread Barbershop,,"Um Sang-hyun, Park Yoon-hee, Kang Shi-hyun, Hong Bum-ki, Kim Hyun-wook, Lee In-suk, Song Ha-rim",,8-28-2021,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies"
s191,Movie,Thimmarusu,Sharan Koppisetty,"Satya Dev, Priyanka Jawalkar, Brahmaji",India,8-28-2021,2021,TV-14,125 min,"Dramas, International Movies"
s192,Movie,Wind River,Taylor Sheridan,"Jeremy Renner, Elizabeth Olsen, Jon Bernthal, Gil Birmingham, Kelsey Asbille, Tantoo Cardinal, Teo Briones, Matthew Del Negro, Hugh Dillon, Julia Jones, James Jordan, Eric Lange, Martin Sensmeier, Mason Davis, Graham Greene","United Kingdom, Canada, United States",8-28-2021,2017,R,107 min,"Dramas, Independent Movies"
s193,Movie,C Kkompany,Sachin Yardi,"Mithun Chakraborty, Tusshar Kapoor, Anupam Kher, Rajpal Yadav, Raima Sen, Dilip Prabhavalkar, Sanjay Mishra",India,8-27-2021,2008,TV-14,127 min,"Action & Adventure, Comedies, International Movies"
s194,TV Show,D.P.,,"Jung Hae-in, Koo Kyo-hwan, Kim Sung-kyun, Son Suk-ku",", South Korea",8-27-2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas"
s195,TV Show,Deadly Sins,,"Frank Ramirez, Patricia Castañeda, Chela del Río, Patrick Delmas, María José Martínez, Robinson Díaz, Juan Ángel, Guillermo Olarte, Constanza Duque, Marcela Carvajal",,8-27-2021,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
s196,Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,"Sanjay Dutt, Arjun Rampal, Malaika Arora, Aashish Chaudhary, Neha Uberoi, Urmila Matondkar, Manoj Joshi, Daya Shankar Pandey, Pushkar Jog, Kulbhushan Kharbanda",India,8-27-2021,2008,TV-14,128 min,"Comedies, Dramas, International Movies"
s197,Movie,He's All That,Mark Waters,"Addison Rae, Tanner Buchanan, Rachael Leigh Cook, Madison Pettis, Isabella Crovetti, Matthew Lillard, Peyton Meyer, Annie Jacob, Myra Molloy, Kourtney Kardashian",,8-27-2021,2021,TV-14,92 min,"Comedies, Romantic Movies"
s198,TV Show,I Heart Arlo,,"Michael J. Woodard, Mary Lambert, Jonathan Van Ness, Haley Tju, Brett Gelman, Tony Hale, Vincent Rodriguez III, Annie Potts, Jessica Williams, Melissa Villaseñor, Cathy Vu, Jennifer Coolidge, Flea",,8-27-2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies"
s199,TV Show,King of Boys: The Return of the King,Kemi Adetiba,"Sola Sobowale, Toni Tones, Richard Mofe-Damijo, Efa Iwara, Titi Kuti, Tobechukwu ""iLLbliss"" Ejiofor, Remilekun ""Reminisce"" Safaru, Charles  ""Charly Boy"" Oputa, Nse Ikpe-Etim, Keppy Ekpenyong Bassey, Bimbo Manuel, Akin Lewis, Lord Frank, Osas Ighodaro, Taiwo Ajai-Lycett, Paul Sambo",Nigeria,8-27-2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s200,Movie,Koi Aap Sa,Partho Mitra,"Aftab Shivdasani, Natassha, Dipannita Sharma, Himanshu Mallik, Vaidya Advai, Pushy Anand, Shama Deshpande, Rajendra Gupta",India,8-27-2021,2006,TV-14,135 min,"Comedies, Dramas, International Movies"
s201,Movie,Krishna Cottage,Santram Varma,"Sohail Khan, Isha Koppikar, Natassha, Rati Agnihotri, Vrajesh Hirjee, Divya Palat, Hiten Tejwani, Rajendranath Zutshi",India,8-27-2021,2004,TV-14,124 min,"Action & Adventure, Horror Movies, International Movies"
